filename,class_ Cow,class_ Dog,class_ Frog,class_ Pig,class_ Rooster
1-100032-A.wav,False,True,False,False,False
1-110389-A.wav,False,True,False,False,False
1-30226-A.wav,False,True,False,False,False
1-30344-A.wav,False,True,False,False,False
1-32318-A.wav,False,True,False,False,False
1-59513-A.wav,False,True,False,False,False
1-85362-A.wav,False,True,False,False,False
1-97392-A.wav,False,True,False,False,False
2-114280-A.wav,False,True,False,False,False
2-114587-A.wav,False,True,False,False,False
2-116400-A.wav,False,True,False,False,False
2-117271-A.wav,False,True,False,False,False
2-118072-A.wav,False,True,False,False,False
2-118964-A.wav,False,True,False,False,False
2-122104-A.wav,False,True,False,False,False
2-122104-B.wav,False,True,False,False,False
3-136288-A.wav,False,True,False,False,False
3-144028-A.wav,False,True,False,False,False
3-155312-A.wav,False,True,False,False,False
3-157695-A.wav,False,True,False,False,False
3-163459-A.wav,False,True,False,False,False
3-170015-A.wav,False,True,False,False,False
3-180256-A.wav,False,True,False,False,False
3-180977-A.wav,False,True,False,False,False
4-182395-A.wav,False,True,False,False,False
4-183992-A.wav,False,True,False,False,False
4-184575-A.wav,False,True,False,False,False
4-191687-A.wav,False,True,False,False,False
4-192236-A.wav,False,True,False,False,False
4-194754-A.wav,False,True,False,False,False
4-199261-A.wav,False,True,False,False,False
4-207124-A.wav,False,True,False,False,False
5-203128-A.wav,False,True,False,False,False
5-203128-B.wav,False,True,False,False,False
5-208030-A.wav,False,True,False,False,False
5-212454-A.wav,False,True,False,False,False
5-213855-A.wav,False,True,False,False,False
5-217158-A.wav,False,True,False,False,False
5-231762-A.wav,False,True,False,False,False
5-9032-A.wav,False,True,False,False,False
1-26806-A.wav,False,False,False,False,True
1-27724-A.wav,False,False,False,False,True
1-34119-A.wav,False,False,False,False,True
1-34119-B.wav,False,False,False,False,True
1-39923-A.wav,False,False,False,False,True
1-40730-A.wav,False,False,False,False,True
1-43382-A.wav,False,False,False,False,True
1-44831-A.wav,False,False,False,False,True
2-100786-A.wav,False,False,False,False,True
2-65750-A.wav,False,False,False,False,True
2-71162-A.wav,False,False,False,False,True
2-81270-A.wav,False,False,False,False,True
2-95035-A.wav,False,False,False,False,True
2-95258-A.wav,False,False,False,False,True
2-95258-B.wav,False,False,False,False,True
2-96460-A.wav,False,False,False,False,True
3-107219-A.wav,False,False,False,False,True
3-116135-A.wav,False,False,False,False,True
3-134049-A.wav,False,False,False,False,True
3-137152-A.wav,False,False,False,False,True
3-145382-A.wav,False,False,False,False,True
3-149189-A.wav,False,False,False,False,True
3-154957-A.wav,False,False,False,False,True
3-163288-A.wav,False,False,False,False,True
4-164021-A.wav,False,False,False,False,True
4-164064-A.wav,False,False,False,False,True
4-164064-B.wav,False,False,False,False,True
4-164064-C.wav,False,False,False,False,True
4-164859-A.wav,False,False,False,False,True
4-170078-A.wav,False,False,False,False,True
4-183487-A.wav,False,False,False,False,True
4-208021-A.wav,False,False,False,False,True
5-194930-A.wav,False,False,False,False,True
5-194930-B.wav,False,False,False,False,True
5-200334-A.wav,False,False,False,False,True
5-200334-B.wav,False,False,False,False,True
5-200339-A.wav,False,False,False,False,True
5-233160-A.wav,False,False,False,False,True
5-234879-A.wav,False,False,False,False,True
